interface,model,task_id,total_search_invocations,total_elements_retrieved
gpt-5-medium,gpt-5,Webmall_Substitutes_Task3,8,250
gpt-5-medium,gpt-5,Webmall_Substitutes_Task4,3,90
gpt-5-medium,gpt-5,Webmall_Substitutes_Task5,5,140
gpt-5-medium,gpt-5,Webmall_Substitutes_Task6,4,105
gpt-5-mini,gpt-5-mini,Webmall_Add_To_Cart_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Add_To_Cart_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Add_To_Cart_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_Add_To_Cart_Task4,1,30
gpt-5-mini,gpt-5-mini,Webmall_Add_To_Cart_Task5,1,30
gpt-5-mini,gpt-5-mini,Webmall_Add_To_Cart_Task6,1,30
gpt-5-mini,gpt-5-mini,Webmall_Add_To_Cart_Task7,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task10,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task11,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task4,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task5,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task6,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task7,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task8,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Specific_Task9,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task1,1,15
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task4,0,0
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task5,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task6,1,15
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task7,1,30
gpt-5-mini,gpt-5-mini,Webmall_Best_Fit_Vague_Task8,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task10,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task4,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task5,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task6,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task7,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task8,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task9,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task4,3,60
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task5,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task6,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task10,1,15
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task3,1,15
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task4,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task5,1,15
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task6,1,30
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task7,1,15
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task8,1,15
gpt-5-mini,gpt-5-mini,Webmall_Cheapest_Product_Search_Task9,1,30
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task1,0,0
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task2,0,0
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task3,0,0
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task4,0,0
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task5,0,0
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task6,0,0
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task7,0,0
gpt-5-mini,gpt-5-mini,Webmall_Checkout_Task8,0,0
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task1,1,15
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task2,1,15
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task4,1,15
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task5,1,15
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task6,1,15
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task7,2,30
gpt-5-mini,gpt-5-mini,Webmall_EndToEnd_Task8,2,35
gpt-5-mini,gpt-5-mini,Webmall_Find_Compatible_Products_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Find_Compatible_Products_Task2,1,20
gpt-5-mini,gpt-5-mini,Webmall_Find_Compatible_Products_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_Find_Compatible_Products_Task4,1,30
gpt-5-mini,gpt-5-mini,Webmall_Find_Compatible_Products_Task5,1,15
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task10,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task11,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task12,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task3,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task4,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task5,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task6,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task7,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task8,1,30
gpt-5-mini,gpt-5-mini,Webmall_Single_Product_Search_Task9,1,30
gpt-5-mini,gpt-5-mini,Webmall_Substitutes_Task1,1,30
gpt-5-mini,gpt-5-mini,Webmall_Substitutes_Task2,1,30
gpt-5-mini,gpt-5-mini,Webmall_Substitutes_Task3,2,60
gpt-5-mini,gpt-5-mini,Webmall_Substitutes_Task4,1,30
gpt-5-mini,gpt-5-mini,Webmall_Substitutes_Task5,1,30
gpt-5-mini,gpt-5-mini,Webmall_Substitutes_Task6,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Add_To_Cart_Task1,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Add_To_Cart_Task2,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Add_To_Cart_Task3,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Add_To_Cart_Task4,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Add_To_Cart_Task5,2,30
gpt-5-mini-medium,gpt-5-mini,Webmall_Add_To_Cart_Task6,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Add_To_Cart_Task7,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task1,13,475
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task10,4,120
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task11,9,280
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task2,2,65
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task3,5,135
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task4,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task5,3,75
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task6,16,490
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task7,6,180
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task8,4,130
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Specific_Task9,12,480
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task1,3,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task2,2,80
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task3,10,350
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task4,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task5,13,470
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task6,25,720
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task7,0,0
gpt-5-mini-medium,gpt-5-mini,Webmall_Best_Fit_Vague_Task8,5,130
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task1,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task10,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task2,11,310
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task3,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task4,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task5,2,80
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task6,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task7,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task8,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task9,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task1,1,30
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task2,3,75
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task3,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task4,9,185
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task5,6,150
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task6,4,105
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task1,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task10,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task2,5,120
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task3,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task4,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task5,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task6,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task7,15,525
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task8,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Cheapest_Product_Search_Task9,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task1,0,0
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task2,1,10
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task3,0,0
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task4,0,0
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task5,0,0
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task6,0,0
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task7,1,10
gpt-5-mini-medium,gpt-5-mini,Webmall_Checkout_Task8,0,0
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task1,2,30
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task2,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task3,4,110
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task4,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task5,2,45
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task6,2,30
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task7,4,65
gpt-5-mini-medium,gpt-5-mini,Webmall_EndToEnd_Task8,4,95
gpt-5-mini-medium,gpt-5-mini,Webmall_Find_Compatible_Products_Task1,3,110
gpt-5-mini-medium,gpt-5-mini,Webmall_Find_Compatible_Products_Task2,6,200
gpt-5-mini-medium,gpt-5-mini,Webmall_Find_Compatible_Products_Task3,6,220
gpt-5-mini-medium,gpt-5-mini,Webmall_Find_Compatible_Products_Task4,2,60
gpt-5-mini-medium,gpt-5-mini,Webmall_Find_Compatible_Products_Task5,2,30
gpt-5-mini-medium,gpt-5-mini,Webmall_Single_Product_Search_Task1,2,30
gpt-5-mini-medium,gpt-5-mini,Webmall_Single_Product_Search_Task10,8,365
