task_id,task_category,type,url,seen_in_history,model,agent_type,task_description
Webmall_Add_To_Cart_Task7,Add_To_Cart,missed,https://webmall-1.informatik.uni-mannheim.de/product/antec-c8-argb-gaming-case-w-glass-side-front-e-atx-3x-argb-fans-argb-pwm-fan-hub-dual-chamber-mesh-panels-usb-c-white,No,Sonnet,NLWeb,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/antec-c8-aluminium-gaming-case-w-glass-side-front-e-atx-dual-chamber-mesh-panels-usb-c-white,Yes,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-front-e-atx-dual-chamber-mesh-panels-usb-c-white,Yes,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task7,Webmall_Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-black,Yes,GPT-4.1,RAG,\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-black,No,GPT-4.1,NLWeb,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-black,Yes,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task7,Webmall_Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-white,Yes,GPT-4.1,RAG,\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-white,No,GPT-4.1,NLWeb,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-white,Yes,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Best_Fit_Specific_Task10,Webmall_Best_Fit_Specific,missed,https://webmall-3.informatik.uni-mannheim.de/product/asus-27-rog-strix-wqhd-hdr-gaming-monitor-xg27aq-ips-2560-x-1440-1ms-2-hdmi-displayport-170hz-speakers-vesa,No,GPT-4.1,RAG,"\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n"
Webmall_Best_Fit_Specific_Task10,Webmall_Best_Fit_Specific,missed,https://webmall-3.informatik.uni-mannheim.de/product/asus-31-5-rog-strix-wqhd-curved-hdr-gaming-monitor-xg32vc-2560-x-1440-1ms-hdmi-displayport-usb-170hz-rgb-lighting-vesa,No,GPT-4.1,RAG,"\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n"
Webmall_Best_Fit_Specific_Task10,Webmall_Best_Fit_Specific,missed,https://webmall-3.informatik.uni-mannheim.de/product/asus-31-5-rog-strix-wqhd-curved-hdr-gaming-monitor-xg32vc-2560-x-1440-1ms-hdmi-displayport-usb-170hz-rgb-lighting-vesa,No,Sonnet,RAG,"\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n"
Webmall_Best_Fit_Specific_Task10,Best_Fit_Specific,missed,https://webmall-3.informatik.uni-mannheim.de/product/asus-31-5-rog-strix-wqhd-curved-hdr-gaming-monitor-xg32vc-2560-x-1440-1ms-hdmi-displayport-usb-170hz-rgb-lighting-vesa,No,Sonnet,MCP,"<task>\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n</task>"
Webmall_Best_Fit_Specific_Task10,Best_Fit_Specific,additional,https://webmall-2.informatik.uni-mannheim.de/product/dell-p3222qe-31-5-169-4k-uhd-usb-c-hub-ips-led-monitor,No,GPT-4.1,NLWeb,"<task>\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n</task>"
Webmall_Best_Fit_Specific_Task10,Best_Fit_Specific,additional,https://webmall-2.informatik.uni-mannheim.de/product/dell-p3222qe-31-5-169-4k-uhd-usb-c-hub-ips-led-monitor,No,Sonnet,NLWeb,"<task>\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n</task>"
Webmall_Best_Fit_Specific_Task10,Webmall_Best_Fit_Specific,additional,https://webmall-3.informatik.uni-mannheim.de/product/asus-proart-display-27-wqhd-professional-monitor-pa278cv-ips-2560-x-1440-5ms-hdmi-2-dp-daisy-chaining-usb-c-100-srgb-vesa,Yes,Sonnet,RAG,"\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n"
Webmall_Best_Fit_Specific_Task10,Best_Fit_Specific,additional,https://webmall-3.informatik.uni-mannheim.de/product/dell-34-curved-usb-c-monitor-s3423dwc,No,GPT-4.1,MCP,"<task>\nFind all offers for gaming monitors with a resolution higher than 1920x1080, a screen size of at least 27 inches, and a price below 600 euros.\n</task>"
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,Yes,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,No,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support,No,GPT-4.1,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support,Yes,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,GPT-4.1,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,Sonnet,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-black-solid-gaming-case-atx-angular-mesh-front-3-fans-detachable-front-filter-usb-c,No,GPT-4.1,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-black-solid-gaming-case-atx-angular-mesh-front-3-fans-detachable-front-filter-usb-c,No,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-black-solid-gaming-case-atx-angular-mesh-front-3-fans-detachable-front-filter-usb-c,No,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-black-solid-gaming-case-atx-angular-mesh-front-3-fans-detachable-front-filter-usb-c,No,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-compact-black-solid-gaming-case-atx-angular-mesh-front-3-fans-detachable-front-filter-usb-c,No,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,GPT-4.1,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-define-7-compact-dark-tg-gaming-case-w-dark-tint-glass-window-atx-2-fans-sound-dampening-ventilated-psu-shroud-usb-c,No,Sonnet,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support,No,GPT-4.1,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support,Yes,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support,No,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,missed,https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support,No,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,additional,"based on my analysis of the search results and product details, i found several fractal design pc gaming cases that meet your requirements for 240mm radiator support and 330mm gpu clearance. here are the qualifying models:

**cases that meet both requirements (240mm radiator + 330mm+ gpu support):**

1. **fractal design meshify 2 mini** - explicitly supports 331mm gpu & 280mm radiator (which includes 240mm)
2. **fractal design meshify 2 (standard e-atx models)** - support radiators up to 360mm front, 420mm top, 280mm base (includes 240mm), and based on e-atx specifications, should support gpus over 330mm
3. **fractal design meshify 2 xl** - supports radiators up to 480/420mm front, 480/420mm top, 280/240mm base, and being the xl version, has even more gpu clearance

the meshify 2 mini is specifically advertised with 331mm gpu support and 280mm radiator support, making it a perfect match. the standard meshify 2 and meshify 2 xl models support larger radiators (up to 360mm+ and 480mm+ respectively) which includes 240mm support, and as e-atx cases, they should easily accommodate gpus over 330mm in length.

[""https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support/"", ""https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-mini-black-tg-gaming-case-w-dark-glass-window-micro-atx-angular-mesh-usb-c-331mm-gpu-280mm-radiator-support/"", ""https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-4.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-solid-gaming-case-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c/"", ""https://webmall-2.informatik.uni-mannheim.de/product/fractal-design-meshify-2-xl-black-tg-gaming-case-w-light-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-",No,Sonnet,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Webmall_Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,Yes,GPT-4.1,RAG,\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,No,GPT-4.1,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,No,Sonnet,NLWeb,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
Webmall_Best_Fit_Specific_Task11,Best_Fit_Specific,additional,https://webmall-1.informatik.uni-mannheim.de/product/fractal-design-meshify-2-black-tg-gaming-case-w-dark-tint-glass-window-e-atx-angular-mesh-front-3-fans-fan-hub-detachable-front-filter-usb-c,Yes,GPT-4.1,MCP,<task>\nFind all offers for Fractal Design PC Gaming Cases which support 240mm radiators and 330mm GPUs.\n</task>
